state,district,mukim
Johor,Batu Pahat,Mukim Bagan
Johor,Batu Pahat,Mukim Chaah Bahru
Johor,Batu Pahat,Mukim Kampung Bahru
Johor,Batu Pahat,Mukim Linau
Johor,Batu Pahat,Mukim Lubok
Johor,Batu Pahat,Mukim Minyak Beku
Johor,Batu Pahat,Mukim Peserai
Johor,Batu Pahat,Mukim Simpang Kanan
Johor,Batu Pahat,Mukim Simpang Kiri
Johor,Batu Pahat,Mukim Sri Gading
Johor,Batu Pahat,Mukim Sri Medan
Johor,Batu Pahat,Mukim Sungai Kluang
Johor,Batu Pahat,Mukim Sungai Punggor
Johor,Batu Pahat,Mukim Tanjung Sembrong
Johor,Johor Bahru,Bandar Johor Bahru
Johor,Johor Bahru,Mukim Jelutong
Johor,Johor Bahru,Mukim Plentong
Johor,Johor Bahru,Mukim Pulai
Johor,Johor Bahru,Mukim Sungai Tiram
Johor,Johor Bahru,Mukim Tanjung Kupang
Johor,Johor Bahru,Mukim Tebrau
Johor,Kluang,Mukim Kahang
Johor,Kluang,Mukim Kluang
Johor,Kluang,Mukim Layang-Layang
Johor,Kluang,Mukim Machap
Johor,Kluang,Mukim Niyor
Johor,Kluang,Mukim Paloh
Johor,Kluang,Mukim Rengam
Johor,Kluang,Mukim Ulu Benut
Johor,Kota Tinggi,Mukim Johor Lama
Johor,Kota Tinggi,Mukim Kambau
Johor,Kota Tinggi,Mukim Kota Tinggi
Johor,Kota Tinggi,Mukim Pantai Timur
Johor,Kota Tinggi,Mukim Pengerang
Johor,Kota Tinggi,Mukim Sedili Besar
Johor,Kota Tinggi,Mukim Sedili Kechil
Johor,Kota Tinggi,Mukim Tanjung Surat
Johor,Kota Tinggi,Mukim Ulu Sungai Johor
Johor,Kota Tinggi,Mukim Ulu Sungei Sedili Besar
Johor,Kulai,Mukim Bukit Batu
Johor,Kulai,Mukim Kulai
Johor,Kulai,Mukim Sedenak
Johor,Kulai,Mukim Senai
Johor,Mersing,Mukim Jemaluang
Johor,Mersing,Mukim Lenggor
Johor,Mersing,Mukim Mersing
Johor,Mersing,Mukim Padang Endau
Johor,Mersing,Mukim Penyabong
Johor,Mersing,Mukim Pulau Aur
Johor,Mersing,Mukim Pulau Babi
Johor,Mersing,Mukim Pulau Pemanggil
Johor,Mersing,Mukim Pulau Sibu
Johor,Mersing,Mukim Pulau Tinggi
Johor,Mersing,Mukim Sembrong
Johor,Mersing,Mukim Tenggaroh
Johor,Mersing,Mukim Tenglu
Johor,Mersing,Mukim Triang
Johor,Muar,Mukim Ayer Hitam
Johor,Muar,Mukim Bandar
Johor,Muar,Mukim Bukit Kepong
Johor,Muar,Mukim Jalan Bakri
Johor,Muar,Mukim Jorak
Johor,Muar,Mukim Lenga
Johor,Muar,Mukim Parit Bakar
Johor,Muar,Mukim Parit Jawa
Johor,Muar,Mukim Sri Menanti
Johor,Muar,Mukim Sungai Balang
Johor,Muar,Mukim Sungai Raya
Johor,Muar,Mukim Sungai Terap
Johor,Pontian,Mukim Air Masin
Johor,Pontian,Mukim Api-Api
Johor,Pontian,Mukim Ayer Baloi
Johor,Pontian,Mukim Benut
Johor,Pontian,Mukim Jeram Batu
Johor,Pontian,Mukim Pengkalan Raja
Johor,Pontian,Mukim Pontian
Johor,Pontian,Mukim Rimba Terjun
Johor,Pontian,Mukim Serkat
Johor,Pontian,Mukim Sungai Karang
Johor,Pontian,Mukim Sungei Pinggan
Johor,Segamat,Mukim Bekok
Johor,Segamat,Mukim Buloh Kasap
Johor,Segamat,Mukim Chaah
Johor,Segamat,Mukim Gemas
Johor,Segamat,Mukim Gemereh
Johor,Segamat,Mukim Jabi
Johor,Segamat,Mukim Jementah
Johor,Segamat,Mukim Labis
Johor,Segamat,Mukim Pogoh
Johor,Segamat,Mukim Sermin
Johor,Segamat,Mukim Sungai Segamat
Johor,Tangkak,Mukim Bukit Serampang
Johor,Tangkak,Mukim Grisek
Johor,Tangkak,Mukim Kesang
Johor,Tangkak,Mukim Kundang
Johor,Tangkak,Mukim Serom
Johor,Tangkak,Mukim Tangkak
Kedah,Baling,Mukim Bakai
Kedah,Baling,Mukim Baling
Kedah,Baling,Mukim Bongor
Kedah,Baling,Mukim Kupang
Kedah,Baling,Mukim Pulai
Kedah,Baling,Mukim Siong
Kedah,Baling,Mukim Tawar
Kedah,Baling,Mukim Teloi Kanan
Kedah,Bandar Baharu,Mukim Bagan Samak
Kedah,Bandar Baharu,Mukim Kuala Selama
Kedah,Bandar Baharu,Mukim Permatang Pasir
Kedah,Bandar Baharu,Mukim Relau
Kedah,Bandar Baharu,Mukim Serdang
Kedah,Bandar Baharu,Mukim Sungai Batu
Kedah,Bandar Baharu,Mukim Sungai Kechil
Kedah,Kota Setar,Mukim Alor Malai
Kedah,Kota Setar,Mukim Anak Bukit
Kedah,Kota Setar,Mukim Derga
Kedah,Kota Setar,Mukim Gunong
Kedah,Kota Setar,Mukim Kangkong
Kedah,Kota Setar,Mukim Kubang Rotan
Kedah,Kota Setar,Mukim Langgar
Kedah,Kota Setar,Mukim Lengkuas
Kedah,Kota Setar,Mukim Lepai
Kedah,Kota Setar,Mukim Limbong
Kedah,Kota Setar,Mukim Padang Hang
Kedah,Kota Setar,Mukim Padang Lalang
Kedah,Kota Setar,Mukim Pengkalan Kundor
Kedah,Kota Setar,Mukim Sala Kechik
Kedah,Kota Setar,Mukim Sungai Baharu
Kedah,Kota Setar,Mukim Tajar
Kedah,Kota Setar,Mukim Tebengau
Kedah,Kota Setar,Mukim Telaga Mas
Kedah,Kota Setar,Mukim Titi Gajah
Kedah,Kuala Muda,Mukim Bujang
Kedah,Kuala Muda,Mukim Bukit Meriam
Kedah,Kuala Muda,Mukim Gurun
Kedah,Kuala Muda,Mukim Haji Kudong
Kedah,Kuala Muda,Mukim Kota
Kedah,Kuala Muda,Mukim Kuala
Kedah,Kuala Muda,Mukim Merbok
Kedah,Kuala Muda,Mukim Pekula
Kedah,Kuala Muda,Mukim Pinang Tunggal
Kedah,Kuala Muda,Mukim Rantau Panjang
Kedah,Kuala Muda,Mukim Semeling
Kedah,Kuala Muda,Mukim Sidam Kiri
Kedah,Kuala Muda,Mukim Simpor
Kedah,Kuala Muda,Mukim Sungai Pasir
Kedah,Kuala Muda,Mukim Sungai Petani
Kedah,Kuala Muda,Mukim Teloi Kiri
Kedah,Kubang Pasu,Mukim Ah
Kedah,Kubang Pasu,Mukim Binjal
Kedah,Kubang Pasu,Mukim Bukit Tinggi
Kedah,Kubang Pasu,Mukim Gelong
Kedah,Kubang Pasu,Mukim Husba
Kedah,Kubang Pasu,Mukim Jeram
Kedah,Kubang Pasu,Mukim Jerlun
Kedah,Kubang Pasu,Mukim Jitra
Kedah,Kubang Pasu,Mukim Kepelu
Kedah,Kubang Pasu,Mukim Kubang Pasu
Kedah,Kubang Pasu,Mukim Malau
Kedah,Kubang Pasu,Mukim Naga
Kedah,Kubang Pasu,Mukim Padang Perahu
Kedah,Kubang Pasu,Mukim Pelubang
Kedah,Kubang Pasu,Mukim Pering
Kedah,Kubang Pasu,Mukim Putat
Kedah,Kubang Pasu,Mukim Sanglang
Kedah,Kubang Pasu,Mukim Sungai Laka
Kedah,Kubang Pasu,Mukim Temin
Kedah,Kubang Pasu,Mukim Tunjang
Kedah,Kubang Pasu,Mukim Wang Tepus
Kedah,Kulim,Mukim Bagan Sena
Kedah,Kulim,Mukim Junjong
Kedah,Kulim,Mukim Karangan
Kedah,Kulim,Mukim Kulim
Kedah,Kulim,Mukim Mahang
Kedah,Kulim,Mukim Naga Lilit
Kedah,Kulim,Mukim Padang China
Kedah,Kulim,Mukim Padang Meha
Kedah,Kulim,Mukim Sedim
Kedah,Kulim,Mukim Sidam Kanan
Kedah,Kulim,Mukim Sungai Seluang
Kedah,Kulim,Mukim Sungai Ular
Kedah,Kulim,Mukim Terap
Kedah,Langkawi,Bandar Kuah
Kedah,Langkawi,Mukim Ayer Hangat
Kedah,Langkawi,Mukim Bohor
Kedah,Langkawi,Mukim Kedawang
Kedah,Langkawi,Mukim Padang Mat Sirat
Kedah,Langkawi,Mukim Ulu Melaka
Kedah,Padang Terap,Mukim Batang Tunggang Kanan
Kedah,Padang Terap,Mukim Batang Tunggang Kiri
Kedah,Padang Terap,Mukim Belimbing Kanan
Kedah,Padang Terap,Mukim Belimbing Kiri
Kedah,Padang Terap,Mukim Kurong Hitam
Kedah,Padang Terap,Mukim Padang Temak
Kedah,Padang Terap,Mukim Padang Terap Kanan
Kedah,Padang Terap,Mukim Padang Terap Kiri
Kedah,Padang Terap,Mukim Pedu
Kedah,Padang Terap,Mukim Tekai
Kedah,Padang Terap,Mukim Tolak
Kedah,Pendang,Mukim Ayer Puteh
Kedah,Pendang,Mukim Bukit Paya
Kedah,Pendang,Mukim Guar Kepayang
Kedah,Pendang,Mukim Padang Kerbau
Kedah,Pendang,Mukim Padang Peliang
Kedah,Pendang,Mukim Padang Pusing
Kedah,Pendang,Mukim Rambai
Kedah,Pendang,Mukim Tobiar
Kedah,Pokok Sena,Mukim Bukit Lada
Kedah,Pokok Sena,Mukim Derang
Kedah,Pokok Sena,Mukim Gajah Mati
Kedah,Pokok Sena,Mukim Jabi
Kedah,Pokok Sena,Mukim Lesong
Kedah,Pokok Sena,Mukim Tualang
Kedah,Sik,Mukim Jeneri
Kedah,Sik,Mukim Sik
Kedah,Sik,Mukim Sok
Kedah,Yan,Mukim Dulang
Kedah,Yan,Mukim Sala Besar
Kedah,Yan,Mukim Singkir
Kedah,Yan,Mukim Sungai Daun
Kedah,Yan,Mukim Yan
Kelantan,Bachok,Mukim Alor Bakat
Kelantan,Bachok,Mukim Bachok
Kelantan,Bachok,Mukim Bator
Kelantan,Bachok,Mukim Chap
Kelantan,Bachok,Mukim Cherang Hangus
Kelantan,Bachok,Mukim Gajah Mati
Kelantan,Bachok,Mukim Gunong
Kelantan,Bachok,Mukim Kemasin
Kelantan,Bachok,Mukim Kuau
Kelantan,Bachok,Mukim Kubang Telaga
Kelantan,Bachok,Mukim Kuchelong
Kelantan,Bachok,Mukim Lubok Tembesu
Kelantan,Bachok,Mukim Mak Lipah
Kelantan,Bachok,Mukim Melawi
Kelantan,Bachok,Mukim Nipah
Kelantan,Bachok,Mukim Pak Pura
Kelantan,Bachok,Mukim Pauh Sembilan
Kelantan,Bachok,Mukim Paya Mengkuang
Kelantan,Bachok,Mukim Perupok
Kelantan,Bachok,Mukim Repek
Kelantan,Bachok,Mukim Rusa
Kelantan,Bachok,Mukim Senak
Kelantan,Bachok,Mukim Serdang
Kelantan,Bachok,Mukim Takang
Kelantan,Bachok,Mukim Tanjong
Kelantan,Bachok,Mukim Tanjong Jering
Kelantan,Bachok,Mukim Tanjong Pauh
Kelantan,Bachok,Mukim Telok Mesira
Kelantan,Bachok,Mukim Telong
Kelantan,Bachok,Mukim Temu Ranggas
Kelantan,Bachok,Mukim Tepus
Kelantan,Bachok,Mukim Tualang Salak
Kelantan,Gua Musang,Mukim Batu Papan
Kelantan,Gua Musang,Mukim Gua Musang
Kelantan,Gua Musang,Mukim Ketil
Kelantan,Gua Musang,Mukim Kuala Sungai
Kelantan,Gua Musang,Mukim Limau Kasturi
Kelantan,Gua Musang,Mukim Pulai
Kelantan,Gua Musang,Mukim Relai
Kelantan,Gua Musang,Mukim Renok
Kelantan,Gua Musang,Mukim Ulu Nenggiri
Kelantan,Jeli,Mukim Belimbing
Kelantan,Jeli,Mukim Bunga Tanjong
Kelantan,Jeli,Mukim Jeli
Kelantan,Jeli,Mukim Jeli Tepi Sungai
Kelantan,Jeli,Mukim Kalai
Kelantan,Jeli,Mukim Kuala Balah
Kelantan,Jeli,Mukim Lubok Bongor
Kelantan,Kecil Lojing,Mukim Balar
Kelantan,Kecil Lojing,Mukim Blau
Kelantan,Kecil Lojing,Mukim Hau
Kelantan,Kecil Lojing,Mukim Hendrop
Kelantan,Kecil Lojing,Mukim Kuala Betis
Kelantan,Kecil Lojing,Mukim Sigar
Kelantan,Kecil Lojing,Mukim Tuel
Kelantan,Kota Bharu,Bandar Kota Bharu
Kelantan,Kota Bharu,Mukim Aur Duri
Kelantan,Kota Bharu,Mukim Badak
Kelantan,Kota Bharu,Mukim Badak Mati
Kelantan,Kota Bharu,Mukim Badang
Kelantan,Kota Bharu,Mukim Banggol
Kelantan,Kota Bharu,Mukim Banggu
Kelantan,Kota Bharu,Mukim Baung
Kelantan,Kota Bharu,Mukim Bayang
Kelantan,Kota Bharu,Mukim Bechah Mulong
Kelantan,Kota Bharu,Mukim Beta Hilir
Kelantan,Kota Bharu,Mukim Beta Hulu
Kelantan,Kota Bharu,Mukim Beting
Kelantan,Kota Bharu,Mukim Biah
Kelantan,Kota Bharu,Mukim Binjai
Kelantan,Kota Bharu,Mukim Buloh Poh
Kelantan,Kota Bharu,Mukim Bunut Payong
Kelantan,Kota Bharu,Mukim But
Kelantan,Kota Bharu,Mukim Che Latiff
Kelantan,Kota Bharu,Mukim Chekli
Kelantan,Kota Bharu,Mukim Chekok
Kelantan,Kota Bharu,Mukim Chicha
Kelantan,Kota Bharu,Mukim Dal
Kelantan,Kota Bharu,Mukim Demit
Kelantan,Kota Bharu,Mukim Duson Rendah
Kelantan,Kota Bharu,Mukim Guntong
Kelantan,Kota Bharu,Mukim Jelutong
Kelantan,Kota Bharu,Mukim Kadok
Kelantan,Kota Bharu,Mukim Kampong Sireh
Kelantan,Kota Bharu,Mukim Karang
Kelantan,Kota Bharu,Mukim Kedai Buloh
Kelantan,Kota Bharu,Mukim Kemubu
Kelantan,Kota Bharu,Mukim Kemumin
Kelantan,Kota Bharu,Mukim Kenali
Kelantan,Kota Bharu,Mukim Ketereh Barat
Kelantan,Kota Bharu,Mukim Ketereh Timor
Kelantan,Kota Bharu,Mukim Kijang
Kelantan,Kota Bharu,Mukim Koh
Kelantan,Kota Bharu,Mukim Kota
Kelantan,Kota Bharu,Mukim Langgar
Kelantan,Kota Bharu,Mukim Lembu
Kelantan,Kota Bharu,Mukim Lubok Jambu
Kelantan,Kota Bharu,Mukim Lubok Pukol
Kelantan,Kota Bharu,Mukim Lundang
Kelantan,Kota Bharu,Mukim Lundang Paku
Kelantan,Kota Bharu,Mukim Mahang Barat
Kelantan,Kota Bharu,Mukim Mahang Timor
Kelantan,Kota Bharu,Mukim Melor
Kelantan,Kota Bharu,Mukim Mentuan
Kelantan,Kota Bharu,Mukim Padang Bongor
Kelantan,Kota Bharu,Mukim Padang Enggang
Kelantan,Kota Bharu,Mukim Padang Garong
Kelantan,Kota Bharu,Mukim Padang Leban
Kelantan,Kota Bharu,Mukim Padang Raja
Kelantan,Kota Bharu,Mukim Padang Sakar
Kelantan,Kota Bharu,Mukim Padang Tengah
Kelantan,Kota Bharu,Mukim Panchor
Kelantan,Kota Bharu,Mukim Pangkal Pisang
Kelantan,Kota Bharu,Mukim Parit
Kelantan,Kota Bharu,Mukim Pasir Ha
Kelantan,Kota Bharu,Mukim Pasir Mas
Kelantan,Kota Bharu,Mukim Patek
Kelantan,Kota Bharu,Mukim Pauh
Kelantan,Kota Bharu,Mukim Paya
Kelantan,Kota Bharu,Mukim Pendek
Kelantan,Kota Bharu,Mukim Pengkalan Chepa
Kelantan,Kota Bharu,Mukim Peringat
Kelantan,Kota Bharu,Mukim Perol
Kelantan,Kota Bharu,Mukim Pintu Gang
Kelantan,Kota Bharu,Mukim Pulau
Kelantan,Kota Bharu,Mukim Pulau Belanga
Kelantan,Kota Bharu,Mukim Pulau Gajah
Kelantan,Kota Bharu,Mukim Pulau Kundor
Kelantan,Kota Bharu,Mukim Pulau Panjang
Kelantan,Kota Bharu,Mukim Pulau Pisang
Kelantan,Kota Bharu,Mukim Sabak
Kelantan,Kota Bharu,Mukim Salor
Kelantan,Kota Bharu,Mukim Semut Api
Kelantan,Kota Bharu,Mukim Sering
Kelantan,Kota Bharu,Mukim Seterpa
Kelantan,Kota Bharu,Mukim Tanjong Chat
Kelantan,Kota Bharu,Mukim Tapang
Kelantan,Kota Bharu,Mukim Tebing Tinggi
Kelantan,Kota Bharu,Mukim Telok
Kelantan,Kota Bharu,Mukim Telok Bharu
Kelantan,Kota Bharu,Mukim Telok Kitang
Kelantan,Kota Bharu,Mukim Tiong
Kelantan,Kota Bharu,Mukim Tok Ku
Kelantan,Kota Bharu,Mukim Wakaf Siku
Kelantan,Kota Bharu,Mukim Wakaf Stan
Kelantan,Kuala Krai,Mukim Batu Mengkebang
Kelantan,Kuala Krai,Mukim Enggong
Kelantan,Kuala Krai,Mukim Gajah
Kelantan,Kuala Krai,Mukim Kandek
Kelantan,Kuala Krai,Mukim Kenor
Kelantan,Kuala Krai,Mukim Kuala Geris
Kelantan,Kuala Krai,Mukim Kuala Krai
Kelantan,Kuala Krai,Mukim Kuala Nal
Kelantan,Kuala Krai,Mukim Kuala Pahi
Kelantan,Kuala Krai,Mukim Kuala Pergau
Kelantan,Kuala Krai,Mukim Kuala Stong
Kelantan,Kuala Krai,Mukim Mambong
Kelantan,Kuala Krai,Mukim Manek Urai
Kelantan,Kuala Krai,Mukim Manjor
Kelantan,Kuala Krai,Mukim Telekong
Kelantan,Machang,Mukim Bagan
Kelantan,Machang,Mukim Bakar
Kelantan,Machang,Mukim Dewan
Kelantan,Machang,Mukim Gading Galoh
Kelantan,Machang,Mukim Jakar
Kelantan,Machang,Mukim Joh
Kelantan,Machang,Mukim Kelaweh
Kelantan,Machang,Mukim Kerawang
Kelantan,Machang,Mukim Kerilla
Kelantan,Machang,Mukim Kuala Kerak
Kelantan,Machang,Mukim Labok
Kelantan,Machang,Mukim Limau Hantu
Kelantan,Machang,Mukim Machang
Kelantan,Machang,Mukim Padang Kemunchut
Kelantan,Machang,Mukim Pek
Kelantan,Machang,Mukim Pemanok
Kelantan,Machang,Mukim Pulai Chondong
Kelantan,Machang,Mukim Raja
Kelantan,Machang,Mukim Temangan
Kelantan,Machang,Mukim Tengah
Kelantan,Machang,Mukim Tok Bok
Kelantan,Machang,Mukim Ulu Sat
Kelantan,Pasir Mas,Mukim Alor Buloh
Kelantan,Pasir Mas,Mukim Alor Pasir
Kelantan,Pasir Mas,Mukim Apa-Apa
Kelantan,Pasir Mas,Mukim Apam
Kelantan,Pasir Mas,Mukim Bakong
Kelantan,Pasir Mas,Mukim Bechah Menerong
Kelantan,Pasir Mas,Mukim Bechah Palas
Kelantan,Pasir Mas,Mukim Bechah Semak
Kelantan,Pasir Mas,Mukim Bukit Tuku
Kelantan,Pasir Mas,Mukim Chetok
Kelantan,Pasir Mas,Mukim Gelam
Kelantan,Pasir Mas,Mukim Gua
Kelantan,Pasir Mas,Mukim Gual Nering
Kelantan,Pasir Mas,Mukim Gual Periok
Kelantan,Pasir Mas,Mukim Jabo
Kelantan,Pasir Mas,Mukim Jejawi
Kelantan,Pasir Mas,Mukim Kala
Kelantan,Pasir Mas,Mukim Kangkong
Kelantan,Pasir Mas,Mukim Kasa
Kelantan,Pasir Mas,Mukim Kedondong
Kelantan,Pasir Mas,Mukim Kenak
Kelantan,Pasir Mas,Mukim Kerasak
Kelantan,Pasir Mas,Mukim Kiat
Kelantan,Pasir Mas,Mukim Kuala Kelar
Kelantan,Pasir Mas,Mukim Kuala Lemal
Kelantan,Pasir Mas,Mukim Kubang Batang
Kelantan,Pasir Mas,Mukim Kubang Bemban
Kelantan,Pasir Mas,Mukim Kubang Gatal
Kelantan,Pasir Mas,Mukim Kubang Gendang
Kelantan,Pasir Mas,Mukim Kubang Ketam
Kelantan,Pasir Mas,Mukim Kubang Sepat
Kelantan,Pasir Mas,Mukim Kubang Terap
Kelantan,Pasir Mas,Mukim Lalang
Kelantan,Pasir Mas,Mukim Lubok Anching
Kelantan,Pasir Mas,Mukim Lubok Gong
Kelantan,Pasir Mas,Mukim Lubok Kawah
Kelantan,Pasir Mas,Mukim Lubok Setol
Kelantan,Pasir Mas,Mukim Lubok Tapah
Kelantan,Pasir Mas,Mukim Meranti
Kelantan,Pasir Mas,Mukim Padang Embon
Kelantan,Pasir Mas,Mukim Paloh
Kelantan,Pasir Mas,Mukim Rantau Panjang
Kelantan,Pasir Mas,Mukim Sakar
Kelantan,Pasir Mas,Mukim Tasik Berangan
Kelantan,Pasir Mas,Mukim Teliar
Kelantan,Pasir Mas,Mukim Tendong
Kelantan,Pasir Mas,Mukim Tok Sangkot
Kelantan,Pasir Mas,Mukim Tok Uban
Kelantan,Pasir Puteh,Mukim Banggol Setol
